HEXCODE,PARAMETER_ID,PARAMETER_ID,MIN_VALUE_NU,MAX_VALUE_NU,RGB_R_NU,RGB_G_NU,RGB_B_NU,SHORT_NAME_TX,DWH1_T_UNIT_REF.NAME_E_TX,SHORT_SIGN_TX,NAME_G_TX,NAME_F_TX,NAME_I_TX,DWH1_T_PARAM_GROUP_REF.NAME_E_TX,DESC_G_TX,DESC_F_TX,DESC_E_TX,DESC_I_TX,UUID_TX,TECHNICAL_NAME_TX,MHS_PRODUCT_NAME_TX,LABEL_G,LABEL_F,LABEL_I,LABEL_E,LABEL_DEF_G,LABEL_DEF_F,LABEL_DEF_I,LABEL_DEF_E
#3B645E,90,90,850,998,59,100,94,prestas0,hectopascal,hPa,Druck,pression,pressione,pressure,Luftdruck auf Stationshöhe (QFE); Momentanwert,pression atmosphérique à l'altitude de la station (QFE); valeur instantanée,Pressure at station level (QFE); current value,Pressione alla stazione (QFE); valore momentaneo,e6ac5527-5447-4c24-a39b-1b248c65992f,messwerte-luftdruck-qfe-10min,i2011t,QNH < 998 hPa,QNH < 998 hPa,QNH < 998 hPa,QNH < 998 hPa,850 bis 998 hPa,de 850 à 998 hPa,da 850 a 998 hPa,850 to 998 hPa
#61938E,90,90,998,1003,97,147,142,prestas0,hectopascal,hPa,Druck,pression,pressione,pressure,Luftdruck auf Stationshöhe (QFE); Momentanwert,pression atmosphérique à l'altitude de la station (QFE); valeur instantanée,Pressure at station level (QFE); current value,Pressione alla stazione (QFE); valore momentaneo,e6ac5527-5447-4c24-a39b-1b248c65992f,messwerte-luftdruck-qfe-10min,i2011t,QNH 998-1003 hPa,QNH de 998 à 1003 hPa,QNH da 998 a 1003 hPa,QNH 998 to 1003 hPa,998 bis 1003 hPa,de 998 à 1003 hPa,da 998 a 1003 hPa,998 to 1003 hPa
#9BC9C0,90,90,1003,1008,155,201,192,prestas0,hectopascal,hPa,Druck,pression,pressione,pressure,Luftdruck auf Stationshöhe (QFE); Momentanwert,pression atmosphérique à l'altitude de la station (QFE); valeur instantanée,Pressure at station level (QFE); current value,Pressione alla stazione (QFE); valore momentaneo,e6ac5527-5447-4c24-a39b-1b248c65992f,messwerte-luftdruck-qfe-10min,i2011t,QNH 1003-1008 hPa,QNH de 1003 à 1008 hPa,QNH da 1003 a 1008 hPa,QNH 1003 to 1008 hPa,1003 bis 1008 hPa,de 1003 à 1008 hPa,da 1003 a 1008 hPa,1003 to 1008 hPa
#D2E8E4,90,90,1008,1013,210,232,228,prestas0,hectopascal,hPa,Druck,pression,pressione,pressure,Luftdruck auf Stationshöhe (QFE); Momentanwert,pression atmosphérique à l'altitude de la station (QFE); valeur instantanée,Pressure at station level (QFE); current value,Pressione alla stazione (QFE); valore momentaneo,e6ac5527-5447-4c24-a39b-1b248c65992f,messwerte-luftdruck-qfe-10min,i2011t,QNH 1008 - 1013 hPa,QNH de 1008 à 1013 hPa,QNH da 1008 a 1013 hPa,QNH 1008 to 1013 hPa,1008 bis 1013 hPa,de 1008 à 1013 hPa,da 1008 a 1013 hPa,1008 to 1013 hPa
#F1E5C7,90,90,1013,1018,241,229,199,prestas0,hectopascal,hPa,Druck,pression,pressione,pressure,Luftdruck auf Stationshöhe (QFE); Momentanwert,pression atmosphérique à l'altitude de la station (QFE); valeur instantanée,Pressure at station level (QFE); current value,Pressione alla stazione (QFE); valore momentaneo,e6ac5527-5447-4c24-a39b-1b248c65992f,messwerte-luftdruck-qfe-10min,i2011t,QNH 1013 bis 1018 hPa,QNH de 1013 à 1018 hPa,QNH da 1013 a 1018 hPa,QNH 1013 to 1018 hPa,1013 bis 1018 hPa,de 1013 à 1018 hPa,da 1013 a 1018 hPa,1013 to 1018 hPa
#D5BE86,90,90,1018,1023,213,190,134,prestas0,hectopascal,hPa,Druck,pression,pressione,pressure,Luftdruck auf Stationshöhe (QFE); Momentanwert,pression atmosphérique à l'altitude de la station (QFE); valeur instantanée,Pressure at station level (QFE); current value,Pressione alla stazione (QFE); valore momentaneo,e6ac5527-5447-4c24-a39b-1b248c65992f,messwerte-luftdruck-qfe-10min,i2011t,QNH 1018-1023 hPa,QNH de 1018 à 1023 hPa,QNH da 1018 a 1023 hPa,QNH 1018 to 1023 hPa,1018 bis 1023 hPa,de 1018 à 1023 hPa,da 1018 a 1023 hPa,1018 to 1023 hPa
#AD7F43,90,90,1023,1028,173,127,67,prestas0,hectopascal,hPa,Druck,pression,pressione,pressure,Luftdruck auf Stationshöhe (QFE); Momentanwert,pression atmosphérique à l'altitude de la station (QFE); valeur instantanée,Pressure at station level (QFE); current value,Pressione alla stazione (QFE); valore momentaneo,e6ac5527-5447-4c24-a39b-1b248c65992f,messwerte-luftdruck-qfe-10min,i2011t,QNH 1023-1028 hPa,QNH de 1023 à 1028 hPa,QNH da 1023 a 1028 hPa,QNH 1023 to 1028 hPa,1023 bis 1028 hPa,de 1023 à 1028 hPa,da 1023 a 1028 hPa,1023 to 1028 hPa
#7C5326,90,90,1028,1090,124,83,38,prestas0,hectopascal,hPa,Druck,pression,pressione,pressure,Luftdruck auf Stationshöhe (QFE); Momentanwert,pression atmosphérique à l'altitude de la station (QFE); valeur instantanée,Pressure at station level (QFE); current value,Pressione alla stazione (QFE); valore momentaneo,e6ac5527-5447-4c24-a39b-1b248c65992f,messwerte-luftdruck-qfe-10min,i2011t,QNH > 1028 hPa,QNH > 1028 hPa,QNH > 1028 hPa,QNH > 1028 hPa,1028 bis 1090 hPa,de 1028 à 1090 hPa,da 1028 a 1090 hPa,1028 to 1090 hPa
#071E46,91,91,-50,-35,7,30,70,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,< -35 °C,< -35 °C,< -35 °C,< -35 °C,-50 bis -35 °C,de -50 à -35 °C,da -50 a -35 °C,-50 to -35 °C
#072F6B,91,91,-35,-30,7,47,107,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,-35 bis -30 °C,de -35 à -30 °C,da -35 a -30 °C,-35 to -30 °C,-35 bis -30 °C,de -35 à -30 °C,da -35 a -30 °C,-35 to -30 °C
#08529C,91,91,-30,-25,8,82,156,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,-30 bis -25 °C,de -30 à -25 °C,da -30 a -25 °C,-30 to -25 °C,-30 bis -25 °C,de -30 à -25 °C,da -30 a -25 °C,-30 to -25 °C
#2171B5,91,91,-25,-20,33,113,181,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,-25 bis -20 °C,de -25 à -20 °C,da -25 a -20 °C,-25 to -20 °C,-25 bis -20 °C,de -25 à -20 °C,da -25 a -20 °C,-25 to -20 °C
